# Null-Hypothese: '0'=Füller, AENzKM[NAM

 365. KEITH LIKE                 score=0.17874
 366. KEITH KIKO                 score=0.17874
 367. KEITH FIKE                 score=0.17874
 368. KEITH EIKE                 score=0.17874
 369. KEITH DIKE                 score=0.17874
 370. ARTHURSTAR                 score=0.17848
 371. ARTHUROTAR                 score=0.17848
 372. BOBBY EBBS                 score=0.17588
 373. BOBBY ABBY                 score=0.17588
 374. BOBBY ABBS                 score=0.17588
 375. BOBBY ABBE                 score=0.17588
 376. DENISEENDE                 score=0.17311
 377. MARIA ORMS                 score=0.17174
 378. MARIA ORME                 score=0.17174
 379. MARIA ARMY                 score=0.17174
 380. MARIA ARMS                 score=0.17174
 381. LORIWEHRLE                 score=0.16947
 382. LORISEARLE                 score=0.16947
 383. LORIPEARLE                 score=0.16947
 384. LORIOEHRLE                 score=0.16947
 385. LORILYERLY                 score=0.16947
 386. LORIFEHRLE                 score=0.16947
 387. LORIBYERLY                 score=0.16947
 388. LORIBEHRLE                 score=0.16947
 389. LORIBEERLE                 score=0.16947
 390. LORI YERLY                 score=0.16947
 391. LORI SURLS                 score=0.16947
 392. LORI SIRLS                 score=0.16947
 393. LORI EHRLE                 score=0.16947
 394. LORI EARLE                 score=0.16947
 395. ALICE ZIAK                 score=0.16914
 396. ALICE ZIAD                 score=0.16914
 397. ALICE XIAO                 score=0.16914
 398. ALICE VIAU                 score=0.16914
 399. ALICE VIAS                 score=0.16914
 400. ALICE VIAR                 score=0.16914
 401. ALICE VIAN                 score=0.16914
 402. ALICE VIAL                 score=0.16914
 403. ALICE TIAN                 score=0.16914
 404. ALICE SIAS                 score=0.16914
 405. ALICE SIAR                 score=0.16914
 406. ALICE SIAD                 score=0.16914
 407. ALICE RIAS                 score=0.16914
 408. ALICE RIAN                 score=0.16914
 409. ALICE RIAL                 score=0.16914
 410. ALICE QIAN                 score=0.16914
 411. ALICE PIAO                 score=0.16914
 412. ALICE PIAN                 score=0.16914
 413. ALICE NIAU                 score=0.16914
 414. ALICE NIAN                 score=0.16914
 415. ALICE MIAS                 score=0.16914
 416. ALICE MIAO                 score=0.16914
 417. ALICE MIAH                 score=0.16914
 418. ALICE LIAW                 score=0.16914
 419. ALICE LIAS                 score=0.16914
 420. ALICE LIAO                 score=0.16914
 421. ALICE LIAN                 score=0.16914
 422. ALICE KIAH                 score=0.16914
 423. ALICE JIAU                 score=0.16914
 424. ALICE GIAN                 score=0.16914
 425. ALICE FIAL                 score=0.16914
 426. ALICE DIAZ                 score=0.16914
 427. ALICE DIAS                 score=0.16914
 428. ALICE DIAL                 score=0.16914
 429. ALICE DIAK                 score=0.16914
 430. ALICE DIAB                 score=0.16914
 431. ALICE CIAK                 score=0.16914
 432. ALICE BIAS                 score=0.16914
 433. KATHYONTKO                 score=0.16792
 434. PHYLLIS PI                 score=0.16378
 435. HEATHER HE                 score=0.15882
 436. ANNABRINAR                 score=0.15721
 437. ROBIN UBRY                 score=0.15525
 438. MARIE ORMS                 score=0.15432
 439. MARIE ORME                 score=0.15432
 440. MARIE ARMY                 score=0.15432
 441. MARIE ARMS                 score=0.15432
 442. EUGENEAGEE                 score=0.15318
 443. EUGENE GEE                 score=0.15318
 444. TRACYSEATS                 score=0.15072
 445. TRACYHEATH                 score=0.15072
 446. TRACYARATA                 score=0.15072
 447. TRACY WATT                 score=0.15072
 448. TRACY VATH                 score=0.15072
 449. TRACY TATU                 score=0.15072
 450. TRACY TATE                 score=0.15072
 451. TRACY TATA                 score=0.15072
 452. TRACY SATZ                 score=0.15072
 453. TRACY SATO                 score=0.15072
 454. TRACY RATZ                 score=0.15072
 455. TRACY RATH                 score=0.15072
 456. TRACY PATZ                 score=0.15072
 457. TRACY PATT                 score=0.15072
 458. TRACY PATE                 score=0.15072
 459. TRACY PATA                 score=0.15072
 460. TRACY OATS                 score=0.15072
 461. TRACY NATT                 score=0.15072
 462. TRACY NATI                 score=0.15072
 463. TRACY NATH                 score=0.15072
 464. TRACY NATE                 score=0.15072
 465. TRACY MATZ                 score=0.15072
 466. TRACY MATT                 score=0.15072
